PassengerId,HomePlanet,CryoSleep,Deck,Cabin_Number,Side,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,Age_Group,total_expenditure,any_expenditure,family,family_size,travel_group,travel_group_size
0001_01,Europa,FALSE,B,0,P,TRAPPIST-1e,39,FALSE,0,0,0,0,0,Maham Ofracculy,FALSE,31-50,0,FALSE,Ofracculy,1,0001,1
0002_01,Earth,FALSE,F,0,S,TRAPPIST-1e,24,FALSE,109,9,25,549,44,Juanna Vines,TRUE,18-25,736,TRUE,Vines,4,0002,1
0003_01,Europa,FALSE,A,0,S,TRAPPIST-1e,58,TRUE,43,3576,0,6715,49,Altark Susent,FALSE,51+,10383,TRUE,Susent,6,0003,2
0003_02,Europa,FALSE,A,0,S,TRAPPIST-1e,33,FALSE,0,1283,371,3329,193,Solam Susent,FALSE,31-50,5176,TRUE,Susent,6,0003,2
0004_01,Earth,FALSE,F,1,S,TRAPPIST-1e,16,FALSE,303,70,151,565,2,Willy Santantines,TRUE,13-17,1091,TRUE,Santantines,6,0004,1
0005_01,Earth,FALSE,F,0,P,PSO J318.5-22,44,FALSE,0,483,0,291,0,Sandie Hinetthews,TRUE,31-50,774,TRUE,Hinetthews,7,0005,1
0006_01,Earth,FALSE,F,2,S,TRAPPIST-1e,26,FALSE,42,1539,3,0,0,Billex Jacostaffey,TRUE,26-30,1584,TRUE,Jacostaffey,7,0006,2
0006_02,Earth,TRUE,G,0,S,TRAPPIST-1e,28,FALSE,0,0,0,0,0,Candra Jacostaffey,TRUE,26-30,0,FALSE,Jacostaffey,7,0006,2
0007_01,Earth,FALSE,F,3,S,TRAPPIST-1e,35,FALSE,0,785,17,216,0,Andona Beston,TRUE,31-50,1018,TRUE,Beston,5,0007,1
0008_01,Europa,TRUE,B,1,P,55 Cancri e,14,FALSE,0,0,0,0,0,Erraiam Flatic,TRUE,13-17,0,FALSE,Flatic,3,0008,3
0008_02,Europa,TRUE,B,1,P,TRAPPIST-1e,34,FALSE,0,0,0,0,0,Altardr Flatic,TRUE,31-50,0,FALSE,Flatic,3,0008,3
0008_03,Europa,FALSE,B,1,P,55 Cancri e,45,FALSE,39,7295,589,110,124,Wezena Flatic,TRUE,31-50,8157,TRUE,Flatic,3,0008,3
0009_01,Mars,FALSE,F,1,P,TRAPPIST-1e,32,FALSE,73,0,1123,0,113,Berers Barne,TRUE,31-50,1309,TRUE,Barne,4,0009,1
0010_01,Earth,FALSE,G,1,S,TRAPPIST-1e,48,FALSE,719,1,65,0,24,Reney Baketton,FALSE,31-50,809,TRUE,Baketton,5,0010,1
0011_01,Earth,FALSE,F,2,P,TRAPPIST-1e,28,FALSE,8,974,12,2,7,Elle Bertsontry,TRUE,26-30,1003,TRUE,Bertsontry,4,0011,1
0012_01,Earth,FALSE,G,734,S,TRAPPIST-1e,31,FALSE,32,0,876,0,0,Justie Pooles,FALSE,31-50,908,TRUE,Pooles,7,0012,1
0014_01,Mars,FALSE,F,3,P,55 Cancri e,27,FALSE,1286,122,0,0,0,Flats Eccle,FALSE,26-30,1408,TRUE,Eccle,1,0014,1
